,Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Province,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate"
46,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Archbishop O'Sullivan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Kingston,Ontario,245,0.05,1.0,0.0,0.0,0.2,0.0,0.82,-9,0.79,-21,0.68,-3,0.68,-10,0.77,-11,0.27,-20,0.15,0.0
47,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Cathedrale Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Kingston,Ontario,415,0.1,1.0,0.0,0.0,0.1,0.0,0.82,-13,0.77,-5,0.69,-7,0.9,-2,0.94,2,0.61,-8,0.15,0.0
48,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Georges Vanier Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Belleville,Ontario,350,0.0,1.0,0.0,0.0,0.2,0.0,0.64,-2,0.64,-2,0.36,-17,0.71,-7,0.69,-18,0.4,-8,0.25,0.0
50,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Holy Name Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Kingston,Ontario,135,0.0,1.0,0.0,0.0,0.2,0.0,0.69,-31,1.0,10,0.69,-21,1.0,15,1.0,15,0.73,19,0.05,0.05
52,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Holy Rosary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Belleville,Ontario,215,0.0,1.0,0.0,0.0,0.2,0.0,0.6,10,0.6,-7,0.35,-15,0.56,-6,0.74,21,0.22,-6,0.3,0.1
53,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),J J O'Neill Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Napanee,Ontario,275,0.0,1.0,0.0,0.0,0.25,0.0,0.56,10,0.59,-8,0.41,-9,0.7,-7,0.67,-13,0.36,3,0.2,0.1
54,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),John XXIII Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Kingston,Ontario,230,0.05,1.0,0.0,0.0,0.15,0.0,0.81,-3,0.86,2,0.76,-13,0.75,-25,0.81,-15,0.38,-34,0.1,0.0
56,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Mother Teresa Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Kingston,Ontario,425,0.0,1.0,0.05,0.0,0.1,0.0,0.79,-8,0.74,-19,0.54,-13,0.91,-6,0.93,-4,0.7,19,0.05,0.0
59,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Our Lady of Fatima Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Belleville,Ontario,185,0.0,1.0,0.0,0.05,0.25,0.0,0.42,-31,0.25,-48,0.33,-8,0.58,-18,0.68,-22,0.32,-11,0.3,0.1
60,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Our Lady of Lourdes Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Kingston,Ontario,275,0.0,1.0,0.05,0.05,0.2,0.0,0.88,-2,0.91,1,0.85,2,0.86,7,0.86,7,0.43,0,0.1,0.05
