,Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Province,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate"
1,Algoma DSB,Pub Dist Sch Brd (E/F),Anna McCrea Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,200,0.0,1.0,0.0,0.05,0.15,0.0,0.69,-8,0.66,8,0.72,-9,0.8,0,0.8,13,0.4,-13,0.05,0.0
2,Algoma DSB,Pub Dist Sch Brd (E/F),Ben R McMullin Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,150,0.05,1.0,0.05,0.05,0.25,0.0,0.47,3,0.41,3,0.29,-15,0.45,-29,0.55,-10,0.23,1,0.3,0.1
3,Algoma DSB,Pub Dist Sch Brd (E/F),Blind River Public School,Public,Not applicable,Elementary,English,JK-8,Blind River,Ontario,175,0.0,1.0,0.0,0.0,0.2,0.0,0.43,-7,0.36,0,0.21,-29,0.58,6,0.58,-7,0.25,-5,0.25,0.0
6,Algoma DSB,Pub Dist Sch Brd (E/F),Central Algoma Public School,Public,Not applicable,Elementary,English,JK-6,Desbarats,Ontario,115,0.05,1.0,0.0,0.0,0.25,0.0,0.83,16,0.58,-9,0.5,-17,0.73,3,0.77,20,0.73,23,0.3,0.25
8,Algoma DSB,Pub Dist Sch Brd (E/F),Central Avenue Public School,Public,Not applicable,Elementary,English,JK-8,Elliot Lake,Ontario,255,0.0,1.0,0.0,0.0,0.2,0.0,0.19,-13,0.22,-13,0.19,-13,0.46,9,0.41,-3,0.07,-8,0.3,0.1
11,Algoma DSB,Pub Dist Sch Brd (E/F),East View Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,300,0.0,1.0,0.0,0.0,0.2,0.0,0.5,-9,0.25,-21,0.32,-19,0.66,8,0.74,16,0.2,-7,0.15,0.05
12,Algoma DSB,Pub Dist Sch Brd (E/F),Echo Bay Central Public School,Public,Not applicable,Elementary,English,JK-6,Echo Bay,Ontario,230,0.0,1.0,0.0,0.0,0.05,0.0,0.88,5,0.81,7,0.75,5,0.89,25,0.95,31,0.68,25,0.1,0.0
17,Algoma DSB,Pub Dist Sch Brd (E/F),Grand View Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,275,0.0,1.0,0.0,0.0,0.1,0.0,0.83,2,0.75,-11,0.67,-14,0.78,-2,0.67,0,0.56,9,0.1,0.0
18,Algoma DSB,Pub Dist Sch Brd (E/F),Greenwood Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,225,0.0,1.0,0.0,0.0,0.1,0.0,0.73,23,0.62,-19,0.54,23,0.78,13,0.84,19,0.47,9,0.1,0.05
19,Algoma DSB,Pub Dist Sch Brd (E/F),H M Robbins Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,260,0.0,1.0,0.0,0.0,0.2,0.0,0.58,0,0.46,-17,0.5,13,0.68,-11,0.56,6,0.24,-14,0.3,0.05
22,Algoma DSB,Pub Dist Sch Brd (E/F),Isabel Fletcher Public School,Public,Not applicable,Elementary,English,JK-6,Sault Ste Marie,Ontario,190,0.0,1.0,0.0,0.0,0.1,0.0,0.57,28,0.43,11,0.5,40,0.62,-16,0.57,-4,0.24,-4,0.2,0.1
23,Algoma DSB,Pub Dist Sch Brd (E/F),Kiwedin Public School,Public,Not applicable,Elementary,English,JK-6,Sault Ste Marie,Ontario,175,0.0,1.0,0.05,0.05,0.2,0.0,0.5,14,0.2,-7,0.2,-7,0.68,-25,0.47,-33,0.63,36,0.3,0.1
27,Algoma DSB,Pub Dist Sch Brd (E/F),Mountain View Public School,Public,Not applicable,Elementary,English,JK-8,Goulais River,Ontario,190,0.0,1.0,0.0,0.0,0.15,0.0,0.42,-8,0.33,14,0.42,11,0.78,18,0.67,39,0.56,36,0.15,0.05
29,Algoma DSB,Pub Dist Sch Brd (E/F),Northern Heights Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,240,0.0,1.0,0.0,0.0,0.25,0.0,0.62,3,0.19,-40,0.33,-43,0.5,2,0.46,17,0.07,-12,0.3,0.05
30,Algoma DSB,Pub Dist Sch Brd (E/F),Parkland Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,155,0.1,1.0,0.1,0.1,0.2,0.0,0.36,-33,0.18,-44,0.36,-26,0.33,-32,0.33,-27,0.04,-16,0.2,0.05
31,Algoma DSB,Pub Dist Sch Brd (E/F),Pinewood Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,235,0.05,1.0,0.0,0.0,0.1,0.0,0.44,-17,0.56,-14,0.44,-4,0.71,12,0.71,16,0.38,20,0.2,0.0
32,Algoma DSB,Pub Dist Sch Brd (E/F),Queen Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,295,0.0,1.0,0.05,0.05,0.2,0.0,0.64,-5,0.44,-40,0.52,-17,0.69,-3,0.69,-3,0.42,6,0.2,0.1
33,Algoma DSB,Pub Dist Sch Brd (E/F),R M Moore Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,270,0.0,1.0,0.0,0.0,0.1,0.0,0.61,-10,0.72,10,0.61,-10,0.78,6,0.72,0,0.33,-34,0.05,0.0
34,Algoma DSB,Pub Dist Sch Brd (E/F),River View Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,190,0.0,1.0,0.05,0.0,0.25,0.0,0.6,4,0.67,-5,0.6,-7,0.62,-6,0.62,-6,0.31,-8,0.3,0.1
41,Algoma DSB,Pub Dist Sch Brd (E/F),Tarentorus Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,280,0.0,1.0,0.0,0.0,0.1,0.0,0.93,-3,0.75,-25,0.61,-20,0.96,18,0.96,13,0.75,14,0.1,0.05
42,Algoma DSB,Pub Dist Sch Brd (E/F),Thessalon Public School,Public,Not applicable,Elementary,English,JK-6,Thessalon,Ontario,175,0.0,1.0,0.0,0.0,0.15,0.0,0.35,6,0.2,6,0.3,5,0.87,23,0.73,15,0.53,11,0.1,0.0
86,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Anne Hathaway Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,405,0.0,1.0,0.05,0.05,0.1,0.0,0.57,-15,0.55,-19,0.53,-8,0.69,-17,0.64,-11,0.4,-19,0.2,0.15
88,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Avon Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,395,0.05,1.0,0.05,0.05,0.05,0.0,0.75,-7,0.69,-7,0.46,-20,0.82,0,0.75,0,0.55,-16,0.1,0.0
89,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Bedford Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,440,0.0,1.0,0.05,0.05,0.05,0.0,0.69,-12,0.6,-8,0.63,16,0.88,5,0.79,-6,0.46,-3,0.15,0.05
90,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Bluewater Coast Elementary Public School,Public,Not applicable,Elementary,English,JK-6,Hensall,Ontario,140,0.0,1.0,0.0,0.0,0.1,0.0,0.82,7,0.73,-12,0.73,3,0.95,14,0.9,4,0.52,0,0.1,0.1
91,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Brookside Public School,Public,Not applicable,Elementary,English,JK-8,Lucknow,Ontario,215,0.0,1.0,0.0,0.05,0.1,0.0,0.71,21,0.71,7,0.57,21,0.68,-6,0.74,13,0.32,6,0.2,0.2
93,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Central Perth Elementary School,Public,Not applicable,Elementary,English,JK-8,Sebringville,Ontario,205,0.05,1.0,0.0,0.0,0.1,0.0,0.76,20,0.65,9,0.35,-13,0.8,0,0.83,23,0.3,18,0.15,0.1
94,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Clinton Public School,Public,Not applicable,Elementary,English,JK-8,Clinton,Ontario,290,0.0,1.0,0.0,0.0,0.25,0.0,0.75,16,0.68,21,0.57,7,0.87,11,0.87,22,0.47,-10,0.2,0.05
95,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Downie Central Public School,Public,Not applicable,Elementary,English,JK-8,St Pauls,Ontario,200,0.0,1.0,0.0,0.0,0.2,0.0,0.9,9,0.9,6,0.71,6,0.8,-1,0.8,-4,0.6,-1,0.1,0.05
96,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Elma Township Public School,Public,Not applicable,Elementary,English,JK-8,Atwood,Ontario,345,0.05,1.0,0.0,0.0,0.1,0.0,0.85,31,0.78,21,0.67,10,0.67,-19,0.67,12,0.31,-10,0.1,0.3
97,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Exeter Elementary School,Public,Not applicable,Elementary,English,JK-6,Exeter,Ontario,370,0.0,1.0,0.0,0.0,0.1,0.0,0.64,-15,0.77,-2,0.67,-9,0.72,-1,0.81,10,0.43,7,0.2,0.05
